date,gross_ret,cost_ret,gross_leverage,n_long,n_short,portfolio_turnover,net_ret,equity,cum_ret
2025-01-20,0.0,0.0,0.0,0,0,0.0,0.0,1216617.1652588386,0.21661716525883867
2025-01-21,0.0,0.0,0.0,0,0,1.0,0.0,1216617.1652588386,0.21661716525883867
2025-01-22,0.015129284521968784,0.0,0.9999999999999999,4,3,0.5,0.015129284521968784,1235023.7125063508,0.2350237125063508
2025-01-23,-0.0007967399682707044,0.0,1.0,4,4,0.4,-0.0007967399682707044,1234039.719752835,0.23403971975283522
2025-01-24,0.005628921080454213,0.0,0.9999999999999999,4,5,0.44999999999999996,0.005628921080454213,1240986.0319454698,0.24098603194546975
2025-01-27,-0.0017748944942286848,0.0,1.0,4,4,0.25,-0.0017748944942286848,1238783.412669955,0.23878341266995506
2025-01-28,-0.009387149696958627,0.0,1.0,4,4,0.0,-0.009387149696958627,1227154.767333113,0.2271547673331129
2025-01-29,0.0016922746721357296,0.0,1.0,4,4,0.5,0.0016922746721357296,1229231.4502646613,0.2292314502646613
2025-01-30,-0.0037722189179689794,0.0,0.9999999999999999,4,3,0.75,-0.0037722189179689794,1224594.5201334106,0.22459452013341052
2025-01-31,0.0003195557324630941,0.0,0.9999999999999999,3,4,0.6,0.0003195557324630941,1224985.846332262,0.22498584633226204
2025-02-03,0.0006107460839395064,0.0,0.9999999999999999,5,5,0.19999999999999998,0.0006107460839395064,1225734.0016407906,0.22573400164079072
2025-02-04,0.001582358900805081,0.0,0.9999999999999999,5,4,0.6499999999999999,0.001582358900805081,1227673.5527483064,0.22767355274830647
2025-02-05,-0.010805540825692312,0.0,0.9999999999999999,4,3,0.24999999999999997,-0.010805540825692312,1214407.876053462,0.214407876053462
2025-02-06,0.01567504977421748,0.0,0.9999999999999999,3,3,0.8333333333333333,0.01567504977421748,1233443.7799568018,0.23344377995680188
2025-02-07,0.005011293349956097,0.0,0.9999999999999999,4,3,0.5333333333333333,0.005011293349956097,1239624.9285688442,0.23962492856884432
2025-02-10,0.0034714177900826548,0.0,1.0,5,2,0.39999999999999997,0.0034714177900826548,1243928.1845989083,0.2439281845989083
2025-02-11,0.00036522518118921755,0.0,0.9999999999999999,3,2,0.5833333333333333,0.00036522518118921755,1244382.4984955147,0.24438249849551474
2025-02-12,-0.007264568335015143,0.0,0.9999999999999999,4,3,0.3333333333333333,-0.007264568335015143,1235342.5968002973,0.23534259680029734
2025-02-13,-0.0429852780490761,0.0,0.9999999999999999,4,3,0.19999999999999998,-0.0429852780490761,1182241.0517909687,0.18224105179096872
2025-02-14,6.638454292643824e-05,0.0,0.9999999999999999,5,3,0.0,6.638454292643824e-05,1182319.5343228208,0.18231953432282078
2025-02-17,-0.010017914692496794,0.0,0.9999999999999999,5,3,0.44999999999999996,-0.010017914692496794,1170475.1580887022,0.17047515808870228
2025-02-18,-0.02013517749289913,0.0,1.0,4,4,0.24999999999999997,-0.02013517749289913,1146907.433029557,0.14690743302955722
2025-02-19,0.007679391268177823,0.0,0.9999999999999999,3,4,0.5833333333333334,0.007679391268177823,1155714.9839561724,0.15571498395617245
2025-02-20,0.030563160393089178,0.0,1.0,2,4,0.5833333333333333,0.030563160393089178,1191037.2863795212,0.19103728637952133
2025-02-21,-0.004127440762598984,0.0,0.9999999999999999,3,3,0.6499999999999999,-0.004127440762598984,1186121.3505339432,0.1861213505339432
2025-02-24,-0.0012061999178469807,0.0,0.9999999999999999,4,5,1.0,-0.0012061999178469807,1184690.6510583726,0.18469065105837257
2025-02-25,0.0,0.0,0.0,0,0,1.0,0.0,1184690.6510583726,0.18469065105837257
2025-02-26,-0.005615656419965864,0.0,1.0,4,4,1.0,-0.005615656419965864,1178037.835398083,0.17803783539808316
2025-02-27,0.0,0.0,0.0,0,0,0.0,0.0,1178037.835398083,0.17803783539808316
2025-02-28,0.0,0.0,0.0,0,0,0.0,0.0,1178037.835398083,0.17803783539808316
2025-03-03,0.0,0.0,0.0,0,0,1.0,0.0,1178037.835398083,0.17803783539808316
2025-03-04,0.0010797248014125065,0.0,0.9999999999999999,3,4,1.0,0.0010797248014125065,1179309.7920659648,0.17930979206596476
2025-03-05,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-06,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-07,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-10,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-11,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-12,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-13,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-14,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-17,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-18,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-19,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-20,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-21,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-24,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-25,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-26,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-27,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-28,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
2025-03-31,0.0,0.0,0.0,0,0,0.0,0.0,1179309.7920659648,0.17930979206596476
